512 64 8
1 1 1 28.0855
2 1 2 28.0855
3 1 3 28.0855
4 1 4 28.0855
5 1 5 28.0855
6 1 6 28.0855
7 1 7 28.0855
8 1 8 28.0855
9 2 1 28.0855
10 2 2 28.0855
11 2 3 28.0855
12 2 4 28.0855
13 2 5 28.0855
14 2 6 28.0855
15 2 7 28.0855
16 2 8 28.0855
17 3 1 28.0855
18 3 2 28.0855
19 3 3 28.0855
20 3 4 28.0855
21 3 5 28.0855
22 3 6 28.0855
23 3 7 28.0855
24 3 8 28.0855
25 4 1 28.0855
26 4 2 28.0855
27 4 3 28.0855
28 4 4 28.0855
29 4 5 28.0855
30 4 6 28.0855
31 4 7 28.0855
32 4 8 28.0855
33 5 1 28.0855
34 5 2 28.0855
35 5 3 28.0855
36 5 4 28.0855
37 5 5 28.0855
38 5 6 28.0855
39 5 7 28.0855
40 5 8 28.0855
41 6 1 28.0855
42 6 2 28.0855
43 6 3 28.0855
44 6 4 28.0855
45 6 5 28.0855
46 6 6 28.0855
47 6 7 28.0855
48 6 8 28.0855
49 7 1 28.0855
50 7 2 28.0855
51 7 3 28.0855
52 7 4 28.0855
53 7 5 28.0855
54 7 6 28.0855
55 7 7 28.0855
56 7 8 28.0855
57 8 1 28.0855
58 8 2 28.0855
59 8 3 28.0855
60 8 4 28.0855
61 8 5 28.0855
62 8 6 28.0855
63 8 7 28.0855
64 8 8 28.0855
65 9 1 28.0855
66 9 2 28.0855
67 9 3 28.0855
68 9 4 28.0855
69 9 5 28.0855
70 9 6 28.0855
71 9 7 28.0855
72 9 8 28.0855
73 10 1 28.0855
74 10 2 28.0855
75 10 3 28.0855
76 10 4 28.0855
77 10 5 28.0855
78 10 6 28.0855
79 10 7 28.0855
80 10 8 28.0855
81 11 1 28.0855
82 11 2 28.0855
83 11 3 28.0855
84 11 4 28.0855
85 11 5 28.0855
86 11 6 28.0855
87 11 7 28.0855
88 11 8 28.0855
89 12 1 28.0855
90 12 2 28.0855
91 12 3 28.0855
92 12 4 28.0855
93 12 5 28.0855
94 12 6 28.0855
